text,label
"Бесплатный iPhone только сегодня! Жми сюда!",1
"Привет, как дела? Встретимся в пятницу?",0
"Выиграй миллион рублей! Перейди по ссылке!",1
"Не забудь купить молоко по дороге домой",0
"Срочно! Ваш аккаунт заблокирован! Подтвердите данные",1
"Спасибо за встречу вчера, было приятно пообщаться",0
"Кредит без отказа! Одобрение за 5 минут!",1
"Можешь прислать файл из прошлого письма?",0
"Вы выбраны победителем! Заберите приз прямо сейчас",1
"Завтра совещание в 10 утра, не опаздывай",0
"Займ онлайн без справок! Только сегодня!",1
"Скинь пожалуйста презентацию когда будет готова",0
"Быстрые деньги, без комиссий",1
"Скинь пожалуйста презентацию когда будет готова",0
"Быстрые деньги, без комиссий",1
"Напомни пожалуйста во сколько у нас встреча завтра",0
"Заработай 1000$ за день без вложений",1
"Ты уже посмотрел тот документ, что я скинул?",0
"Уникальное предложение только сегодня, переходи по ссылке",1
"Можешь проверить код, там баг вроде",0
"Кредит без отказа, одобрение за 5 минут",1
"Давай созвонимся вечером обсудить проект",0
"Ты выиграл айфон, забери свой приз тут",1
"Я обновил конфиг, посмотри пожалуйста",0
"Получите бесплатный доступ к премиум сервису прямо сейчас",1
"Можешь сегодня забрать посылку из офиса?",0
"Суперскидки 90% только до конца дня",1
"Перенесём митинг на 15:30, успеешь?",0
"Выбраны именно вы! Получите свой подарок по ссылке",1
"Проверь пожалуйста логи на этом сервере",0
"Вам одобрен кредит до 1 000 000 рублей без справок",1
"Я закоммитил изменения в репозиторий",0
"Ваш номер стал победителем розыгрыша, срочно ответьте",1
"Создам таску в трекере, потом глянешь",0
"Суперлотерея, шанс выиграть квартиру, жми сюда",1
"Я дописал скрипт бэкапа, протестируешь?",0
"Получите карту с кэшбеком 50% без годового обслуживания",1
"Пойду на обед, тебе что‑нибудь взять?",0
"Доступ к закрытому инвестиционному клубу, доход от 30% в месяц",1
"Можно перенести дедлайн на понедельник?",0
"Стань миллионером за 30 дней, курс со скидкой",1
